epoch,train_loss,val_loss
100,8.325613021850586,8.322897911071777
200,7.555783748626709,7.551566123962402
300,6.984243392944336,6.986261367797852
400,6.567874431610107,6.568867206573486
500,6.261874198913574,6.250805377960205
600,5.982038497924805,5.981960296630859
700,5.807680606842041,5.807131767272949
800,5.594491958618164,5.590733528137207
900,5.430825710296631,5.423791885375977
1000,5.263009071350098,5.258091926574707
1100,5.085560321807861,5.082077503204346
1200,4.9068217277526855,4.905346393585205
1300,4.728170871734619,4.724149227142334
1400,4.5456671714782715,4.544489860534668
1500,4.363795757293701,4.36453104019165
1600,4.135138988494873,4.134083271026611
1700,3.9625444412231445,3.962503671646118
1800,3.79621958732605,3.79134202003479
1900,3.6374425888061523,3.6351897716522217
2000,3.4760687351226807,3.4667866230010986
2100,3.3194055557250977,3.313913583755493
2200,3.158421277999878,3.1534745693206787
2300,3.004981517791748,3.001988410949707
2400,2.8035659790039062,2.8029582500457764
2500,2.6558189392089844,2.6564409732818604
2600,2.511739730834961,2.5111589431762695
2700,2.377368450164795,2.3755974769592285
2800,2.2563860416412354,2.2537426948547363
2900,2.1346864700317383,2.132185697555542
3000,2.0171289443969727,2.0184285640716553
3100,1.9143056869506836,1.9202044010162354
3200,1.7940436601638794,1.7906956672668457
3300,1.7116553783416748,1.710129976272583
3400,1.631213903427124,1.6321648359298706
3500,1.5666215419769287,1.5645794868469238
3600,1.5133678913116455,1.5121525526046753
3700,1.4598362445831299,1.46202552318573
3800,1.411494255065918,1.415244221687317
3900,1.377974510192871,1.3770678043365479
4000,1.338810682296753,1.3380191326141357
4100,1.3087371587753296,1.3055466413497925
4200,1.2812637090682983,1.2839654684066772
4300,1.2677292823791504,1.268842101097107
4400,1.2474545240402222,1.2513325214385986
4500,1.2401825189590454,1.238142728805542
4600,1.2100820541381836,1.210082769393921
4700,1.1974936723709106,1.2011617422103882
4800,1.1796672344207764,1.1798512935638428
4900,1.15787935256958,1.163490891456604
5000,1.141336441040039,1.146628499031067
5100,1.143706202507019,1.1403188705444336
5200,1.1151070594787598,1.1220678091049194
5300,1.0924476385116577,1.0974243879318237
5400,1.0816339254379272,1.0864229202270508
